requirement,cls,precision,recall,f1,auc,undefined_rate,n_pos,n_neg,vlm_precision,vlm_recall,vlm_f1
face_sharpness,blur_face,0.9460431654676259,1.0,0.9722735674676525,1.0,0.0,263,263,1.0,0.75,0.8571428571428571
exposure_ok,dark,0.9311926605504587,0.7718631178707225,0.8440748440748441,0.9588833147797423,0.0,263,263,1.0,0.8333333333333334,0.9090909090909091
exposure_ok,bright,0.9171270718232044,0.6311787072243346,0.7477477477477478,0.8694068151917768,0.0,263,263,1.0,0.6666666666666666,0.8
background_uniform,busy_background,0.9448275862068966,0.5209125475285171,0.6715686274509803,0.9299975422515866,0.0,263,263,1.0,0.9166666666666666,0.9565217391304348
face_size,face_small,0.9774436090225563,0.9923664122137404,0.9848484848484849,1.0,0.0038095238095238095,262,263,1.0,1.0,1.0
face_centered,face_shifted,0.9397590361445783,0.8897338403041825,0.9140625,0.9465349707909037,0.0038022813688212928,263,263,0.9090909090909091,0.8333333333333334,0.8695652173913043
single_face,multi_face,1.0,1.0,1.0,1.0,0.0,263,263,1.0,0.75,0.8571428571428571
frontal_pose,non_frontal,0.8585858585858586,1.0,0.9239130434782609,0.97374189219414,0.0,85,263,1.0,0.5,0.6666666666666666
